datatype,UP1,UP2,P1,P2,REC
RMSx,8.64745073980842,8.56586185047695,8.7923432183721,8.5908831149496,7.35216156535496
RMSy,1.62543985362317,1.79109789248275,1.77087433589469,2.02968798337975,2.3263131263814
RMSz,4.26745612251847,4.35665260707251,3.87519924778793,4.18412573529496,6.00931965560348
RMSrT,9.77914315125717,9.77560447443657,9.77028476520723,9.76881846352771,9.77639683975029
RMSwx,13.8327834799988,15.8782429768489,15.1460639936897,15.8817586819511,10.0066107419703
RMSwy,11.6080009991757,8.95853692951317,10.2797002874129,13.4846581306383,8.46131318085007
RMSwz,11.1509779759276,11.96123979138,11.4224097160031,12.4094819768392,11.4423836715173
RMSwT,21.2234751117958,21.8047068610471,21.5765367058809,24.2499795188659,17.3969601761902
P2Px,46.154,14.961999,29.182,38.249,15.4789
P2Py,19.5927,15.2203,49.517,43.407,10.5168
P2Pz,29.5718,15.35,35.135,47.588,11.48712
P2PrT,25.0623158738061,9.62902947546289,30.3957144469307,41.897692263455,10.1933783163631
P2Pwx,587.36,668.98,777.42,1000.53,404.02
P2Pwy,819.43,284.86,901.45,1000.53,325.84
P2Pwz,722.18,490.46,762.41,1000.53,549.63
P2PwT,698.897273198883,410.572050983482,866.364241181545,866.329363089095,373.569732525694
MAXr,27.442236662488,15.8745627609078,35.6764773625424,42.2742487691975,15.598954185778
MINr,2.37992078868184,6.24553328544489,5.28076291561172,0.376556505742498,5.40557586941484
MAXw,698.975121302611,410.680005965715,866.481510535568,866.48728403826,373.603870575507
MINw,0.0778481037277081,0.107954982233337,0.117269354023121,0.157920949164447,0.0341380498124893
VARrT,0.0918325324353678,0.0690272956622498,0.0791940580287172,0.11465681823389,0.0382970744056434
VARwT,380.700889172603,397.840043565761,370.562289579643,519.691612983302,251.063436980247
